Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
MedianImputer_RobustScaler,0.18643063324295928,combinatoric,0.15910909726003686,0.3009322399168725,0.027321535982922418,Bacillus
MedianImputer_RobustScaler,0.20343759027208377,combinatoric,0.1608139253829201,0.2957857270324695,0.042623664889163665,Pathogen
MedianImputer_RobustScaler,0.2325538754697026,combinatoric,0.15738434780803792,0.2962354807488043,0.07516952766166468,Interaction
MedianImputer_StandardScaler,0.2079126444727329,combinatoric,0.15969842945953966,0.29902586641424506,0.04821421501319323,Overall
MedianImputer_StandardScaler,0.18731656720038545,combinatoric,0.1603074429568496,0.29717933544401054,0.027009124243535854,Bacillus
MedianImputer_StandardScaler,0.20332390564893243,combinatoric,0.15962834851541308,0.3027560045453939,0.04369555713351936,Pathogen
MedianImputer_StandardScaler,0.23309746056888075,combinatoric,0.15942822229046943,0.30070742046028354,0.07366923827841132,Interaction
RandomForestImputer_MaxAbsScaler,0.21084548856708502,combinatoric,0.1636110776597232,0.30907079222522826,0.04723441090736183,Overall
RandomForestImputer_MaxAbsScaler,0.19856846258750713,combinatoric,0.16292081889868665,0.3020783334601811,0.03564764368882048,Bacillus
RandomForestImputer_MaxAbsScaler,0.19913849289099494,combinatoric,0.16369761133426694,0.29951946009956393,0.035440881556728004,Pathogen
RandomForestImputer_MaxAbsScaler,0.234829510222753,combinatoric,0.16177878873807497,0.2960766480085509,0.07305072148467803,Interaction
RandomForestImputer_MinMaxScaler,0.2116043920481747,combinatoric,0.1635610616330479,0.3012088512536668,0.04804333041512679,Overall
RandomForestImputer_MinMaxScaler,0.2011403229307131,combinatoric,0.1638212683742006,0.296929678297083,0.03731905455651249,Bacillus
RandomForestImputer_MinMaxScaler,0.1984783095018036,combinatoric,0.16453217821964713,0.30704736217321416,0.033946131282156455,Pathogen
RandomForestImputer_MinMaxScaler,0.23519454371200724,combinatoric,0.16399831714160895,0.3028321868549375,0.07119622657039829,Interaction
RandomForestImputer_RobustScaler,0.21122175739928298,combinatoric,0.16210714234371434,0.30395324166002924,0.04911461505556863,Overall
RandomForestImputer_RobustScaler,0.20081321792486292,combinatoric,0.1630541871290231,0.30340713602982716,0.03775903079583984,Bacillus
RandomForestImputer_RobustScaler,0.19846188007483662,combinatoric,0.16327320960963682,0.3022410651124954,0.0351886704651998,Pathogen
RandomForestImputer_RobustScaler,0.2343901741981493,combinatoric,0.16283310467497752,0.3019270843388602,0.07155706952317178,Interaction
RandomForestImputer_StandardScaler,0.21076320552442185,combinatoric,0.16350239931091134,0.2982824508652188,0.0472608062135105,Overall
RandomForestImputer_StandardScaler,0.19953951357753724,combinatoric,0.16372897662905678,0.30690684266717544,0.035810536948480465,Bacillus
RandomForestImputer_StandardScaler,0.1989954724051277,combinatoric,0.16293440999712894,0.30617664661510835,0.03606106240799875,Pathogen
RandomForestImputer_StandardScaler,0.23375463059060084,combinatoric,0.1650083916486356,0.3049168308040859,0.06874623894196524,Interaction
