Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
MeanImputer_MinMaxScaler,0.17911504919780497,combinatoric,0.11809653518103334,0.22253237646590107,0.06101851401677162,Interaction
MeanImputer_RobustScaler,0.15458349321279027,combinatoric,0.11974435819872722,0.22344659317198542,0.03483913501406305,Overall
MeanImputer_RobustScaler,0.1342514103425784,combinatoric,0.11902125763290582,0.2248579243982406,0.015230152709672581,Bacillus
MeanImputer_RobustScaler,0.1504414494998696,combinatoric,0.11963229841750947,0.222260132451921,0.030809151082360126,Pathogen
MeanImputer_RobustScaler,0.1790576197959229,combinatoric,0.1183838914285716,0.21999033644161078,0.06067372836735131,Interaction
MeanImputer_StandardScaler,0.1546163130035041,combinatoric,0.1193458839584619,0.2252749468570248,0.035270429045042184,Overall
MeanImputer_StandardScaler,0.1342946398331557,combinatoric,0.11911796611143512,0.22774571181752573,0.015176673721720588,Bacillus
MeanImputer_StandardScaler,0.1502252332132701,combinatoric,0.11892321116504452,0.22067851489545504,0.03130202204822559,Pathogen
MeanImputer_StandardScaler,0.17932906596408651,combinatoric,0.11856740550030621,0.2228068935643843,0.0607616604637803,Interaction
MedianImputer_MaxAbsScaler,0.15528681081159437,combinatoric,0.11975785897847058,0.22233029052461714,0.035528951833123795,Overall
MedianImputer_MaxAbsScaler,0.13453197037380854,combinatoric,0.11963316183336174,0.22237112625279476,0.014898808540446798,Bacillus
MedianImputer_MaxAbsScaler,0.15022138313419847,combinatoric,0.1196828032543402,0.2225858701431617,0.030538579879858266,Pathogen
MedianImputer_MaxAbsScaler,0.18110707892677605,combinatoric,0.11972596886918173,0.2272002619797577,0.06138111005759432,Interaction
MedianImputer_MinMaxScaler,0.15557725228683486,combinatoric,0.11932175116732638,0.22628507591350872,0.03625550111950848,Overall
MedianImputer_MinMaxScaler,0.13454638018907278,combinatoric,0.12019003351295354,0.22794792845313858,0.014356346676119236,Bacillus
MedianImputer_MinMaxScaler,0.15090875291497385,combinatoric,0.12080317685356391,0.22177060424079273,0.03010557606140994,Pathogen
MedianImputer_MinMaxScaler,0.18127662375645795,combinatoric,0.11986255360006916,0.22437461305781828,0.06141407015638879,Interaction
MedianImputer_RobustScaler,0.15519665647984499,combinatoric,0.11926085486352891,0.22062412089366715,0.03593580161631607,Overall
MedianImputer_RobustScaler,0.1342119598010122,combinatoric,0.11910822377377486,0.22060936979469264,0.01510373602723733,Bacillus
MedianImputer_RobustScaler,0.15056618793282553,combinatoric,0.11918941404810486,0.22225279976447776,0.03137677388472067,Pathogen
MedianImputer_RobustScaler,0.18081182170569718,combinatoric,0.120899241223571,0.2237684305825169,0.05991258048212618,Interaction
MedianImputer_StandardScaler,0.15540262648439612,combinatoric,0.12071708368709957,0.22628409567889737,0.03468554279729655,Overall
MedianImputer_StandardScaler,0.13452098387508735,combinatoric,0.11975880965231549,0.22203060861869184,0.01476217422277186,Bacillus
MedianImputer_StandardScaler,0.15058145861547803,combinatoric,0.12077141653622131,0.2262860450656148,0.02981004207925672,Pathogen
MedianImputer_StandardScaler,0.181105436962623,combinatoric,0.11920069608175686,0.22421897354548437,0.06190474088086613,Interaction
RandomForestImputer_MaxAbsScaler,0.15821100939749563,combinatoric,0.12415999018095228,0.22682218307515656,0.034051019216543355,Overall
RandomForestImputer_MaxAbsScaler,0.14326789551353922,combinatoric,0.12298378204122248,0.22388186912923838,0.020284113472316734,Bacillus
