Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
MeanImputer_MaxAbsScaler,0.20651497910852792,combinatoric,0.15756967122245155,0.3023352158147442,0.04894530788607637,Overall
MeanImputer_MaxAbsScaler,0.18580493600161332,combinatoric,0.15833687326425117,0.30247178968869753,0.02746806273736216,Bacillus
MeanImputer_MaxAbsScaler,0.20312909140152285,combinatoric,0.1591771582153885,0.29932206782076853,0.043951933186134357,Pathogen
MeanImputer_MaxAbsScaler,0.23061090992244762,combinatoric,0.15918461228512262,0.29556739558284956,0.071426297637325,Interaction
MeanImputer_MinMaxScaler,0.20665175978093017,combinatoric,0.15885590260593796,0.2953318971456683,0.04779585717499221,Overall
MeanImputer_MinMaxScaler,0.1856154945887072,combinatoric,0.1560442268642043,0.3008752140955068,0.029571267724502914,Bacillus
MeanImputer_MinMaxScaler,0.203709015300367,combinatoric,0.15662710667285373,0.2937412856282871,0.04708190862751327,Pathogen
MeanImputer_MinMaxScaler,0.2306307694537162,combinatoric,0.15846964886998502,0.29941977784773305,0.07216112058373117,Interaction
MeanImputer_RobustScaler,0.20672023470539022,combinatoric,0.1570985249519024,0.29938657321470186,0.049621709753487814,Overall
MeanImputer_RobustScaler,0.18607931033933062,combinatoric,0.1598494509129752,0.29784301018090253,0.026229859426355417,Bacillus
MeanImputer_RobustScaler,0.20351221078214765,combinatoric,0.15801360810376805,0.2994854266192523,0.0454986026783796,Pathogen
MeanImputer_RobustScaler,0.23056918299469223,combinatoric,0.1581667514347924,0.29655139872267017,0.07240243155989984,Interaction
MeanImputer_StandardScaler,0.20686531712643197,combinatoric,0.15969150590923634,0.3030215282299819,0.04717381121719563,Overall
MeanImputer_StandardScaler,0.1861510336694601,combinatoric,0.16016881114674553,0.29933125263832344,0.025982222522714565,Bacillus
MeanImputer_StandardScaler,0.20345393848971804,combinatoric,0.15781572070327876,0.29328666244131646,0.045638217786439284,Pathogen
MeanImputer_StandardScaler,0.2309909792201177,combinatoric,0.1571066387464212,0.3004290852125267,0.07388434047369649,Interaction
MedianImputer_MaxAbsScaler,0.2079116515890788,combinatoric,0.15930139121431677,0.3039276833796101,0.048610260374762015,Overall
MedianImputer_MaxAbsScaler,0.18731416788033264,combinatoric,0.16076253712045863,0.3031811861770326,0.026551630759874018,Bacillus
MedianImputer_MaxAbsScaler,0.20329353321565685,combinatoric,0.16000956380620285,0.29352099050401936,0.043283969409454004,Pathogen
MedianImputer_MaxAbsScaler,0.23312725367124687,combinatoric,0.16002336495887956,0.299943429037066,0.07310388871236731,Interaction
MedianImputer_MinMaxScaler,0.20821951621449813,combinatoric,0.15918925724221883,0.29294175639061376,0.049030258972279306,Overall
MedianImputer_MinMaxScaler,0.18727639293602294,combinatoric,0.16042689166054555,0.30007610967730103,0.02684950127547739,Bacillus
MedianImputer_MinMaxScaler,0.20412398616642352,combinatoric,0.15894607891406168,0.30429180101460845,0.04517790725236184,Pathogen
MedianImputer_MinMaxScaler,0.23325816954104803,combinatoric,0.15999542100276717,0.29742068532793875,0.07326274853828085,Interaction
MedianImputer_RobustScaler,0.20747403299491524,combinatoric,0.15876675561124548,0.29727453038541307,0.048707277383669756,Overall
MedianImputer_RobustScaler,0.18643063324295928,combinatoric,0.15930053832099006,0.3020137291645441,0.027130094921969217,Bacillus
MedianImputer_RobustScaler,0.20343759027208377,combinatoric,0.15818312316318514,0.2995214495240472,0.04525446710889863,Pathogen
MedianImputer_RobustScaler,0.2325538754697026,combinatoric,0.15771568129190494,0.30296555930858243,0.07483819417779766,Interaction
MedianImputer_StandardScaler,0.2079126444727329,combinatoric,0.15931279288234373,0.3000238866934427,0.048599851590389154,Overall
MedianImputer_StandardScaler,0.18731656720038545,combinatoric,0.15966359714740086,0.30302602743814244,0.027652970052984588,Bacillus
MedianImputer_StandardScaler,0.20332390564893243,combinatoric,0.15898455328096125,0.30045912825123855,0.04433935236797118,Pathogen
MedianImputer_StandardScaler,0.23309746056888075,combinatoric,0.15904670242219898,0.29582064333352365,0.07405075814668177,Interaction
RandomForestImputer_MaxAbsScaler,0.21084548856708502,combinatoric,0.16460585172149483,0.2992595237633701,0.04623963684559018,Overall
RandomForestImputer_MaxAbsScaler,0.19856846258750713,combinatoric,0.1635085311912685,0.2964648863496262,0.035059931396238614,Bacillus
