,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
219,12048,E.ce,49.2288,0.36851,0.69534,399660.4208,41.888,3599.1818,,II,0.948464486
220,12048,E.ce,43.152,0.20075,0.73439,618108.9739,19.8387,351449.1457,,II,0.984434669
221,12048,E.ce,57.4155,0.43074,0.5276,395717.0913,16.6514,35888.134,,II,0.956136915
222,B8,E.ce,60.5387,,,82300.4304,13.3419,67545.3294,,II,0.948584069
223,B8,E.ce,91.6048,,,48258.0789,17.8445,334032.7276,,II,0.971706106
224,B8,E.ce,67.8769,,,100724.7775,12.4926,73591.0206,,II,0.96583419
225,12701,E.ce,60.5403,0.24358,0.61721,629591.8602,16.6514,35888.134,,II,0.980353255
226,12701,E.ce,81.2717,0.26945,0.56917,834387.1315,19.6614,311707.8935,,II,0.978023152
227,12701,E.ce,39.1569,0.29011,0.80322,414261.5025,19.9349,335603.1025,,II,0.955435424
228,11457,E.ce,53.2611,0.26707,0.81433,611316.9179,18.4109,98698.2778,,II,0.967550225
229,11457,E.ce,39.2359,0.2502,0.80535,500597.0395,18.3367,195676.4463,,II,0.96704582
230,11457,E.ce,53.2611,0.26707,0.81433,611316.9179,19.6801,338960.0253,,II,0.940456889
231,B18,E.ce,57.2808,,,45092.7502,37.9864,10831.5888,,II,0.955824504
232,B18,E.ce,68.2838,,,59596.1749,18.7708,156140.9612,,II,0.956021722
233,B18,E.ce,18.8614,,,70714.8488,17.1181,312492.0215,,II,0.943703721
234,B1,E.ce,59.6351,,,86787.7537,16.7582,63239.712,,II,0.931594308
235,B1,E.ce,47.7678,,,84447.6122,17.0281,332652.5343,,II,0.975999003
236,B1,E.ce,50.436,,,57089.6776,13.3419,67545.3294,,II,0.941593844
237,12832,E.ce,35.8943,0.27081,0.75712,488859.2751,18.7708,156140.9612,,II,0.978647992
238,12832,E.ce,45.4961,0.35487,0.73892,362368.2678,12.8112,49284.2304,,II,0.97984867
239,12832,E.ce,31.0436,0.28626,0.81687,469256.4994,17.8136,185840.7796,,II,0.967890321
240,1273,E.ce,39.9628,,0.95795,756044.6805,19.7978,129566.2128,,II,0.971902806
241,1273,E.ce,62.2079,,0.90733,652295.5035,16.4212,137500.1113,,II,0.977634686
242,1273,E.ce,59.696,,0.90243,708070.2493,19.6417,120367.2469,,II,0.977154368
243,12001,E.ce,31.0078,0.21015,0.88252,460894.4923,37.9864,10831.5888,,II,0.943712235
244,12001,E.ce,31.0471,0.24743,0.9086,484879.2594,17.1181,312492.0215,,II,0.988350861
245,12001,E.ce,74.1823,0.30744,0.68488,562740.206,17.9065,147931.0429,,II,0.848545108
246,1202,E.ce,74.8453,,0.68338,678768.9222,16.9216,215739.3021,,II,0.971397048
247,1202,E.ce,78.6186,,0.67154,612460.0317,17.8445,334032.7276,,II,0.937116407
248,1202,E.ce,102.8115,,0.67602,751099.8667,18.4109,98698.2778,,II,0.832699466
249,1234,E.ce,66.1102,,0.90579,417450.9865,17.8136,185840.7796,,II,0.929704166
250,1234,E.ce,58.2539,,0.9189,473088.3816,17.1181,312492.0215,,II,0.953929825
251,1234,E.ce,80.0871,,0.9484,898273.8562,18.533,339632.8413,,II,0.858096234
252,C5,E.ce,53.6051,,,34813.2952,18.533,339632.8413,,II,0.989248209
253,C5,E.ce,82.5108,,,11636.8114,19.7106,338286.8326,,II,0.953912276
254,C5,E.ce,235.1767,,0.71325,265181.1304,37.9864,10831.5888,,II,0.76820081
255,1218,E.ce,74.7426,,0.93027,535295.1146,19.6801,338960.0253,,II,0.855251787
256,1218,E.ce,74.6956,,0.93422,611517.4584,19.7106,338286.8326,,II,0.926961879
257,1218,E.ce,66.8352,,0.92956,631242.7526,17.8445,334032.7276,,II,0.863377308
258,1298,E.ce,85.7338,,0.85781,678835.6906,12.4926,73591.0206,,II,0.939090389
259,1298,E.ce,92.6131,,0.81479,1190127.8628,18.7708,156140.9612,,II,0.978949414
260,1298,E.ce,92.4086,,0.88749,749299.2399,17.1181,312492.0215,,II,0.781611739
261,1219,E.ce,114.9875,,0.74802,1273745.7676,20.6751,259495.2255,,II,0.96712736
262,1219,E.ce,149.9104,,0.61388,1294630.5617,15.0361,95814.5721,,II,0.990431749
263,1219,E.ce,92.6392,,0.79491,968947.9283,19.6616,342774.4385,,II,0.884017235
264,1167,E.ce,67.9052,,0.9353,767452.0875,15.0361,95814.5721,,II,0.973228362
265,1167,E.ce,107.4404,,0.88591,1529532.0531,20.6751,259495.2255,,II,0.965224725
266,1167,E.ce,64.084,,0.92758,632739.9553,16.7582,63239.712,,II,0.952509391
267,1339,E.ce,81.6763,,0.72071,894871.1655,19.6616,342774.4385,,II,0.946963193
268,1339,E.ce,88.5706,,0.3556,749021.007,18.4109,98698.2778,,II,0.891358459
269,1339,E.ce,86.5573,,0.70557,1197702.8226,15.0361,95814.5721,,II,0.871773596
270,11285,S.en,39.225,0.30016,0.66129,379635.0927,45.7929,16581.7665,0.054882,II,0.789886733
271,11285,S.en,100.5544,0.4909,0.64782,711737.2354,71.586,8102.5637,0.036087,II,0.708063316
272,11285,S.en,49.4999,0.21501,0.72345,653403.0672,76.8487,444981.8237,0.61298,II,0.547297512
273,12048,S.en,85.4745,0.36667,0.74025,679653.6736,101.3935,416103.2356,,II,0.657238155
274,12048,S.en,139.8936,0.32468,0.26738,834937.476,82.8157,392885.5513,,II,0.778762275
275,12048,S.en,71.8477,0.32843,0.69521,690033.752,102.3447,367189.3389,,II,0.671382043
276,B8,S.en,63.9328,,,62191.6183,71.3227,17066.6756,0.08596,II,0.482060927
277,B8,S.en,30.8739,,,54347.2308,90.1681,283340.005,,II,0.489932616
278,B8,S.en,53.9097,,,73465.5357,102.3447,367189.3389,,II,0.628124984
279,12701,S.en,54.0864,0.2576,0.68631,694422.2412,82.8157,392885.5513,,II,0.443207453
280,12701,S.en,60.5403,0.24358,0.61721,629591.8602,81.518,25342.7827,0.037964,II,0.749307558
281,12701,S.en,39.2297,0.32013,0.75864,429621.8506,78.9838,12945.9986,0.026665,II,0.852280328
282,11457,S.en,38.6781,0.33454,0.75678,451547.4401,90.1681,283340.005,,II,0.705639282
283,11457,S.en,38.6781,0.33454,0.75678,451547.4401,81.1474,446035.4667,,II,0.757333792
284,11457,S.en,47.3616,0.32389,0.76537,510480.9696,58.7768,15977.1314,0.036022,II,0.775151905
285,B18,S.en,17.8423,,,65398.5713,107.9308,380735.1563,0.48463,II,0.692756666
286,B18,S.en,28.0687,,,59510.4308,81.518,25342.7827,0.037964,II,0.736025873
287,B18,S.en,34.399,,,63392.9779,82.4264,177582.6449,,II,0.699073024
288,B1,S.en,49.8778,,,76320.7541,45.7929,16581.7665,0.054882,II,0.486088198
289,B1,S.en,63.2118,,,64244.863,76.8487,444981.8237,0.61298,II,0.5320514
290,B1,S.en,63.2118,,,64244.863,76.8487,444981.8237,0.61298,II,0.602370773
291,12832,S.en,49.2673,0.22095,0.78797,576836.2402,62.4745,224787.686,,II,0.59612413
292,12832,S.en,42.3834,0.33703,0.7431,401064.6752,89.2673,346366.6986,,II,0.293993974
293,12832,S.en,51.246,0.36537,0.7281,353082.6161,76.8487,444981.8237,0.61298,II,0.124826993
294,1273,S.en,37.8225,,0.93956,727503.844,64.1927,10724.4675,0.026245,II,0.824285669
295,1273,S.en,84.965,,0.86835,1045719.6749,44.6861,12627.0361,0.044441,II,0.890546124
296,1273,S.en,85.5055,,0.78651,985982.1469,103.159,342789.2236,,II,0.918849612
297,12001,S.en,30.6938,0.26862,0.87256,462078.6654,90.1681,283340.005,,II,0.728238237
298,12001,S.en,31.0471,0.24743,0.9086,484879.2594,107.9308,380735.1563,0.48463,II,0.653021541
299,12001,S.en,27.9439,0.19657,0.87945,438504.8675,81.518,25342.7827,0.037964,II,0.804130399
300,1202,S.en,96.041,,0.74585,525624.4383,91.5942,338081.3481,,II,0.351753021
301,1202,S.en,81.7592,,0.73986,753553.6745,68.2667,22063.0887,0.09293,II,0.319219938
302,1202,S.en,81.4623,,0.68268,669640.1149,44.6861,12627.0361,0.044441,II,0.673100989
303,1234,S.en,74.1553,,0.89063,422371.2212,78.9838,12945.9986,0.026665,II,0.046901298
304,1234,S.en,61.7609,,0.91044,423707.6243,91.3491,176103.4762,,II,0.714131526
305,1234,S.en,71.1015,,0.9321,895345.9836,91.5942,338081.3481,,II,0.363388319
306,C5,S.en,235.1767,,0.71325,265181.1304,107.9308,380735.1563,0.48463,II,0.707295138
