,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
286,B18,S.en,-0.525644823571227,,,41678.19214307406,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.736025873
287,B18,S.en,120.06671982357123,,,65942.43720692594,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.699073024
288,B1,S.en,67.54486875,,,66057.76463125,78.86540555555555,228226.09505833333,0.1690962125,II,0.486088198
289,B1,S.en,47.115345176207384,,,53700.80253785625,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.5320514
290,B1,S.en,87.97439232379263,,,78414.72672464374,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.602370773
291,12832,S.en,55.79953888888889,0.34981166666666663,0.7528561111111112,516621.4717166666,78.86540555555555,228226.09505833333,0.1690962125,II,0.59612413
292,12832,S.en,33.01911243253194,0.24364184231540487,0.7106851842987932,324590.29300427414,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.293993974
293,12832,S.en,78.57996534524584,0.4559814910179284,0.7950270379234291,708652.650429059,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.124826993
294,1273,S.en,62.25805833333334,,0.9205341666666667,765473.4745166666,78.86540555555555,228226.09505833333,0.1690962125,II,0.824285669
295,1273,S.en,44.501945376924105,,0.8713700636614703,646289.8118030746,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.890546124
296,1273,S.en,80.01417128974256,,0.969698269671863,884657.1372302587,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.918849612
297,12001,S.en,60.14017894736842,0.2994578947368421,0.7516042105263159,573234.5132210527,78.86540555555555,228226.09505833333,0.1690962125,II,0.728238237
298,12001,S.en,24.47366432133535,0.22919698986462597,0.5879974407102723,406778.8238290912,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.653021541
299,12001,S.en,95.80669357340149,0.3697187996090582,0.9152109803423595,739690.2026130143,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.804130399
300,1202,S.en,87.005275,,0.6926016666666667,694631.6261166666,78.86540555555555,228226.09505833333,0.1690962125,II,0.351753021
301,1202,S.en,75.24248193123688,,0.6477568260430726,583631.7748704507,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.319219938
302,1202,S.en,98.76806806876311,,0.7374465072902607,805631.4773628825,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.673100989
303,1234,S.en,69.32023333333333,,0.9186866666666665,588678.2654,78.86540555555555,228226.09505833333,0.1690962125,II,0.046901298
304,1234,S.en,57.50570887941551,,0.9006096516414412,378665.96848786465,62.95886203039752,60104.26470350087,-0.04958321258304785,II,0.714131526
305,1234,S.en,81.13475778725116,,0.9367636816918918,798690.5623121355,94.77194908071358,396347.9254131658,0.3877756375830479,II,0.363388319
