Bacillus,Pathogene,Modele,Score
_C5,E.co,I,0.375947857
_1218,E.co,I,0.396385065
_1218,E.co,I,0.401584605
_1218,E.co,I,0.314445662
_1298,E.co,I,0.450632446
_1298,E.co,I,0.510221487
_1298,E.co,I,0.383370979
_1219,E.co,I,0.390290431
_1219,E.co,I,0.433375279
_1219,E.co,I,0.395255837
_1167,E.co,I,0.292281461
_1167,E.co,I,0.358797719
_1167,E.co,I,0.296143148
_1339,E.co,I,0.312190767
_1339,E.co,I,0.39582572
_1339,E.co,I,0.316648382
_11285,S.au,II,0.847234052
_11285,S.au,II,0.97927416
_11285,S.au,II,0.970689298
_12048,S.au,II,0.878076635
_12048,S.au,II,0.977618513
_12048,S.au,II,0.970396752
_B8,S.au,II,0.846913439
_B8,S.au,II,0.979480014
_B8,S.au,II,0.961529619
_12701,S.au,II,0.831222569
_12701,S.au,II,0.930102498
_12701,S.au,II,0.954677722
_11457,S.au,II,0.889580719
_11457,S.au,II,0.987720209
_11457,S.au,II,0.946603222
_B18,S.au,II,0.793739009
_B18,S.au,II,0.927118086
_B18,S.au,II,0.945053215
_B1,S.au,II,0.733154541
_B1,S.au,II,0.947134009
_B1,S.au,II,0.966367014
_12832,S.au,II,0.736215707
_12832,S.au,II,0.968801267
_12832,S.au,II,0.932408424
_1273,S.au,II,0.600950329
_1273,S.au,II,0.977602033
_1273,S.au,II,0.931568447
_12001,S.au,II,0.788256717
_12001,S.au,II,0.926514534
_12001,S.au,II,0.888998811
_1202,S.au,II,0.644774752
_1202,S.au,II,0.877514377
_1202,S.au,II,0.830616926
_1234,S.au,II,0.803842807
_1234,S.au,II,0.914667103
_1234,S.au,II,0.901181779
_C5,S.au,II,0.924039734
_C5,S.au,II,0.913568093
_C5,S.au,II,0.981459817
_1218,S.au,II,0.943927903
_1218,S.au,II,0.860909397
_1218,S.au,II,0.942070126
_1298,S.au,II,0.75748653
_1298,S.au,II,0.941420617
_1298,S.au,II,0.951472536
_1219,S.au,II,0.823884586
_1219,S.au,II,0.920806531
_1219,S.au,II,0.945517376
_1167,S.au,II,0.605864797
_1167,S.au,II,0.83673575
_1167,S.au,II,0.934828858
_1339,S.au,II,0.656579443
_1339,S.au,II,0.942190272
_1339,S.au,II,0.913747373
_11285,E.ce,II,0.964516235
_11285,E.ce,II,0.970511301
_11285,E.ce,II,0.976644667
_12048,E.ce,II,0.948464486
_12048,E.ce,II,0.984434669
_12048,E.ce,II,0.956136915
_B8,E.ce,II,0.948584069
_B8,E.ce,II,0.971706106
_B8,E.ce,II,0.96583419
_12701,E.ce,II,0.980353255
_12701,E.ce,II,0.978023152
_12701,E.ce,II,0.955435424
_11457,E.ce,II,0.967550225
_11457,E.ce,II,0.96704582
_11457,E.ce,II,0.940456889
_B18,E.ce,II,0.955824504
_B18,E.ce,II,0.956021722
_B18,E.ce,II,0.943703721
_B1,E.ce,II,0.931594308
_B1,E.ce,II,0.975999003
_B1,E.ce,II,0.941593844
_12832,E.ce,II,0.978647992
_12832,E.ce,II,0.97984867
_12832,E.ce,II,0.967890321
_1273,E.ce,II,0.971902806
_1273,E.ce,II,0.977634686
_1273,E.ce,II,0.977154368
_12001,E.ce,II,0.943712235
_12001,E.ce,II,0.988350861
_12001,E.ce,II,0.848545108
_1202,E.ce,II,0.971397048
_1202,E.ce,II,0.937116407
_1202,E.ce,II,0.832699466
_1234,E.ce,II,0.929704166
_1234,E.ce,II,0.953929825
_1234,E.ce,II,0.858096234
_C5,E.ce,II,0.989248209
_C5,E.ce,II,0.953912276
_C5,E.ce,II,0.76820081
_1218,E.ce,II,0.855251787
_1218,E.ce,II,0.926961879
_1218,E.ce,II,0.863377308
_1298,E.ce,II,0.939090389
_1298,E.ce,II,0.978949414
_1298,E.ce,II,0.781611739
_1219,E.ce,II,0.96712736
_1219,E.ce,II,0.990431749
_1219,E.ce,II,0.884017235
_1167,E.ce,II,0.973228362
_1167,E.ce,II,0.965224725
_1167,E.ce,II,0.952509391
_1339,E.ce,II,0.946963193
_1339,E.ce,II,0.891358459
_1339,E.ce,II,0.871773596
_11285,S.en,II,0.789886733
_11285,S.en,II,0.708063316
_11285,S.en,II,0.547297512
_12048,S.en,II,0.657238155
_12048,S.en,II,0.778762275
_12048,S.en,II,0.671382043
_B8,S.en,II,0.482060927
_B8,S.en,II,0.489932616
_B8,S.en,II,0.628124984
_12701,S.en,II,0.443207453
_12701,S.en,II,0.749307558
_12701,S.en,II,0.852280328
_11457,S.en,II,0.705639282
_11457,S.en,II,0.757333792
_11457,S.en,II,0.775151905
_B18,S.en,II,0.692756666
_B18,S.en,II,0.736025873
_B18,S.en,II,0.699073024
_B1,S.en,II,0.486088198
_B1,S.en,II,0.5320514
_B1,S.en,II,0.602370773
_12832,S.en,II,0.59612413
_12832,S.en,II,0.293993974
_12832,S.en,II,0.124826993
_1273,S.en,II,0.824285669
_1273,S.en,II,0.890546124
_1273,S.en,II,0.918849612
_12001,S.en,II,0.728238237
_12001,S.en,II,0.653021541
_12001,S.en,II,0.804130399
_1202,S.en,II,0.351753021
_1202,S.en,II,0.319219938
_1202,S.en,II,0.673100989
_1234,S.en,II,0.046901298
_1234,S.en,II,0.714131526
_1234,S.en,II,0.363388319
_C5,S.en,II,0.707295138
_C5,S.en,II,0.713279977
_C5,S.en,II,0.497798705
_1218,S.en,II,0.607149913
_1218,S.en,II,0.781771987
_1218,S.en,II,0.822617208
_1298,S.en,II,0.758631084
_1298,S.en,II,0.703949528
_1298,S.en,II,0.608700823
_1219,S.en,II,0
_1219,S.en,II,0.775506635
_1219,S.en,II,0.665448294
_1167,S.en,II,0.965316086
_1167,S.en,II,0.984822933
_1167,S.en,II,0.963606152
_1339,S.en,II,0.853083624
_1339,S.en,II,0.713399942
_1339,S.en,II,0.918402719
_11285,E.co,II,0.874660346
_11285,E.co,II,0.742071737
_11285,E.co,II,0.982452032
_12048,E.co,II,0.907132806
_12048,E.co,II,0.950635149
_12048,E.co,II,0.973211416
_B8,E.co,II,0.899599777
_B8,E.co,II,0.925684356
_B8,E.co,II,0.958886814
_12701,E.co,II,0.98374083
_12701,E.co,II,0.943736484
_12701,E.co,II,0.978034534
_11457,E.co,II,0.997245936
_11457,E.co,II,0.964306613
_11457,E.co,II,0.960025
_B18,E.co,II,0.877181399
_B18,E.co,II,0.92257636
_B18,E.co,II,0.976191011
_B1,E.co,II,0.851139012
_B1,E.co,II,0.876974824
_B1,E.co,II,0.886675445
_12832,E.co,II,0.911721876
_12832,E.co,II,0.909963421
_12832,E.co,II,0.836331227
_1273,E.co,II,0.953463363
_1273,E.co,II,0.959986771
_1273,E.co,II,0.961067805
_12001,E.co,II,0.989651351
_12001,E.co,II,0.94891531
_12001,E.co,II,0.969161981
_1202,E.co,II,0.762401064
_1202,E.co,II,0.796919181
_1202,E.co,II,0.881859447
_1234,E.co,II,0.911242708
_1234,E.co,II,0.876863921
_1234,E.co,II,0.833014084
_C5,E.co,II,0.961636892
_C5,E.co,II,0.82640239
_C5,E.co,II,0.91115366
_1218,E.co,II,0.952146408
_1218,E.co,II,0.956961078
_1218,E.co,II,0.963413306
_1298,E.co,II,0.965175741
_1298,E.co,II,0.933890625
_1298,E.co,II,0.972891238
_1219,E.co,II,0.85544417
_1219,E.co,II,0.882957123
_1219,E.co,II,1
_1167,E.co,II,0.880679132
_1167,E.co,II,0.96778521
_1167,E.co,II,0.98564011
_1339,E.co,II,0.957163044
_1339,E.co,II,0.843052121
_1339,E.co,II,0.784851798
_11285,S.au,III,0.994971871
_11285,S.au,III,0.997774627
_11285,S.au,III,0.97409977
_12048,S.au,III,0.99423697
_12048,S.au,III,0.997120354
_12048,S.au,III,0.954837352
_B8,S.au,III,0.992276788
_B8,S.au,III,0.99963227
_B8,S.au,III,0.993740728
_12701,S.au,III,0.493752381
_12701,S.au,III,0.525581334
_12701,S.au,III,0.415829789
_11457,S.au,III,0.964174346
_11457,S.au,III,0.945928843
_11457,S.au,III,0.946372465
_B18,S.au,III,0.538054882
_B18,S.au,III,0.479390644
_B18,S.au,III,0.437846884
_B1,S.au,III,0.648800352
_B1,S.au,III,0.743744713
_B1,S.au,III,0.779346133
_12832,S.au,III,0.825724484
_12832,S.au,III,0.821875808
_12832,S.au,III,0.793944827
_1273,S.au,III,0.999058597
_1273,S.au,III,0.99149912
_1273,S.au,III,0.929620898
_12001,S.au,III,0.804757399
_12001,S.au,III,0.891062531
_12001,S.au,III,0.905604884
_1202,S.au,III,0.967322854
_1202,S.au,III,0.893014634
_1202,S.au,III,0.96945338
_1234,S.au,III,0.227086166
_1234,S.au,III,0.440397604
_1234,S.au,III,0.287623847
_C5,S.au,III,0.728265106
_C5,S.au,III,0.751977578
_C5,S.au,III,0.735152918
_1218,S.au,III,0.649610205
_1218,S.au,III,0.5107936
_1218,S.au,III,0.724564726
_1298,S.au,III,0.43378687
_1298,S.au,III,0.535241355
_1298,S.au,III,0.550747706
_1219,S.au,III,0.546113416
_1219,S.au,III,0.57300695
_1219,S.au,III,0.537525321
_1167,S.au,III,0.937592418
_1167,S.au,III,0.966179544
_1167,S.au,III,0.959565098
_1339,S.au,III,0.287331521
_1339,S.au,III,0.417370197
_1339,S.au,III,0.353338208
_11285,E.ce,III,0.966215553
_11285,E.ce,III,0.940662015
_11285,E.ce,III,0.822870766
_12048,E.ce,III,0.751893984
_12048,E.ce,III,0.898019338
_12048,E.ce,III,0.907568922
_B8,E.ce,III,0.88575371
_B8,E.ce,III,0.874376641
_B8,E.ce,III,0.896663835
_12701,E.ce,III,0.882237541
_12701,E.ce,III,0.989043693
_12701,E.ce,III,0.778278437
_11457,E.ce,III,0.924833386
_11457,E.ce,III,0.900246906
_11457,E.ce,III,0.858934723
_B18,E.ce,III,0.911266579
_B18,E.ce,III,0.80723995
_B18,E.ce,III,0.661948376
_B1,E.ce,III,0.91341457
_B1,E.ce,III,0.874535693
_B1,E.ce,III,0.819771731
_12832,E.ce,III,0.903447071
_12832,E.ce,III,0.879502389
_12832,E.ce,III,0.729096377
_1273,E.ce,III,0.914386274
_1273,E.ce,III,0.97210151
_1273,E.ce,III,0.888250734
_12001,E.ce,III,0.899396651
_12001,E.ce,III,0.923475597
_12001,E.ce,III,0.882562584
_1202,E.ce,III,0.625071237
_1202,E.ce,III,0.71542897
_1202,E.ce,III,0.653478184
_1234,E.ce,III,0.720690337
_1234,E.ce,III,0.385892809
_1234,E.ce,III,0.50306656
_C5,E.ce,III,0.727718078
_C5,E.ce,III,0.6286392
_C5,E.ce,III,0.559057688
_1218,E.ce,III,0.67607412
_1218,E.ce,III,0.708141782
_1218,E.ce,III,0.496852884
_1298,E.ce,III,0.725565227
_1298,E.ce,III,0.698602341
_1298,E.ce,III,0.53338386
_1219,E.ce,III,0.622213523
_1219,E.ce,III,0.705384682
_1219,E.ce,III,0.500943891
_1167,E.ce,III,0.939973393
_1167,E.ce,III,0.933460471
_1167,E.ce,III,0.892549294
_1339,E.ce,III,0.310075741
_1339,E.ce,III,0.26073352
_1339,E.ce,III,0.226046311
_11285,S.en,III,0.703965175
_11285,S.en,III,0.912967263
_11285,S.en,III,0.810700279
_12048,S.en,III,0.79911473
_12048,S.en,III,0.899758771
_12048,S.en,III,0.868386949
_B8,S.en,III,0.81122728
_B8,S.en,III,0.897454895
_B8,S.en,III,0.841774425
_12701,S.en,III,0.414852146
_12701,S.en,III,0.703062323
_12701,S.en,III,0.512948477
_11457,S.en,III,0.870729562
_11457,S.en,III,0.977013471
_11457,S.en,III,0.889248776
_B18,S.en,III,0.22560538
_B18,S.en,III,0.544051498
_B18,S.en,III,0.50682367
_B1,S.en,III,0.924094183
_B1,S.en,III,0.930258024
_B1,S.en,III,0.902224362
_12832,S.en,III,0.748584238
_12832,S.en,III,0.926655519
_12832,S.en,III,0.921787792
_1273,S.en,III,0.237638988
_1273,S.en,III,0.987752448
_1273,S.en,III,0.944031858
_12001,S.en,III,0.914176695
_12001,S.en,III,0.779171976
_12001,S.en,III,0.912197354
_1202,S.en,III,0.342037531
_1202,S.en,III,0.779842464
_1202,S.en,III,0.246941858
_1234,S.en,III,0
_1234,S.en,III,0.209436414
_1234,S.en,III,0.025364712
_C5,S.en,III,0.230392239
_C5,S.en,III,0.536390649
_C5,S.en,III,0.457617427
_1218,S.en,III,0.074058746
_1218,S.en,III,0.431902933
_1218,S.en,III,0.206438965
_1298,S.en,III,0.214718267
_1298,S.en,III,0.521247026
_1298,S.en,III,0.298924656
_1219,S.en,III,0.371728534
_1219,S.en,III,0.56174631
_1219,S.en,III,0.413659406
_1167,S.en,III,1
_1167,S.en,III,0.999044662
_1167,S.en,III,0.997749271
_1339,S.en,III,0.204342785
_1339,S.en,III,0.411452101
_1339,S.en,III,0.099917528
_11285,E.co,III,0.860569083
_11285,E.co,III,0.817028223
_11285,E.co,III,0.861833689
_12048,E.co,III,0.880971629
_12048,E.co,III,0.830777761
_12048,E.co,III,0.891923236
_B8,E.co,III,0.913464792
_B8,E.co,III,0.887779141
_B8,E.co,III,0.898884588
_12701,E.co,III,0.236691903
_12701,E.co,III,0.136333841
_12701,E.co,III,0.141181207
_11457,E.co,III,0.860302797
_11457,E.co,III,0.955186572
_11457,E.co,III,0.926191168
_B18,E.co,III,0.318754145
_B18,E.co,III,0.261195508
_B18,E.co,III,0.255099978
_B1,E.co,III,0.769466864
_B1,E.co,III,0.766104986
_B1,E.co,III,0.871694043
_12832,E.co,III,0.783747655
_12832,E.co,III,0.799922799
_12832,E.co,III,0.885321991
_1273,E.co,III,0.481711962
_1273,E.co,III,0.625636464
_1273,E.co,III,0.761020293
_12001,E.co,III,0.916592959
_12001,E.co,III,0.950148309
_12001,E.co,III,0.939658647
_1202,E.co,III,0.383562247
_1202,E.co,III,0.397943575
_1202,E.co,III,0.480528662
_1234,E.co,III,0.098199062
_1234,E.co,III,0.23941059
_1234,E.co,III,0.208362211
_C5,E.co,III,0.238011435
_C5,E.co,III,0.273935081
_C5,E.co,III,0.403173135
_1218,E.co,III,0.084438946
_1218,E.co,III,0.216058894
_1218,E.co,III,0.498830201
_1298,E.co,III,0.282673037
_1298,E.co,III,0.336190999
_1298,E.co,III,0.26568292
_1219,E.co,III,0.408580626
_1219,E.co,III,0.167230321
_1219,E.co,III,0.328517114
_1167,E.co,III,0.985180013
_1167,E.co,III,0.997855445
_1167,E.co,III,0.988710933
_1339,E.co,III,0.118312657
_1339,E.co,III,0.115605032
_1339,E.co,III,0.172337885
_11285,S.au,I,0.999687983
_11285,S.au,I,0.999759358
_11285,S.au,I,0.995292035
_12048,S.au,I,0.999568861
_12048,S.au,I,0.99979911
_12048,S.au,I,0.999642249
_B8,S.au,I,0.999744177
_B8,S.au,I,0.99974191
_B8,S.au,I,0.999776288
_12701,S.au,I,0.642626296
_12701,S.au,I,0.516532216
_12701,S.au,I,0.527144306
_11457,S.au,I,0.997070155
_11457,S.au,I,0.998425961
_11457,S.au,I,0.99892703
_B18,S.au,I,0.581945658
_B18,S.au,I,0.472600306
_B18,S.au,I,0.521701945
_B1,S.au,I,0.641998344
_B1,S.au,I,0.956902392
_B1,S.au,I,0.907523551
_12832,S.au,I,0.668503471
_12832,S.au,I,0.891574326
_12832,S.au,I,0.882470851
_1273,S.au,I,0.786250555
_1273,S.au,I,1
_1273,S.au,I,0.999943949
_12001,S.au,I,0.945339144
_12001,S.au,I,0.896102773
_12001,S.au,I,0.868545335
_1202,S.au,I,0.568196521
_1202,S.au,I,0.528319337
_1202,S.au,I,0.575144307
_1234,S.au,I,0.632457411
_1234,S.au,I,0.720965991
_1234,S.au,I,0.578454707
_C5,S.au,I,0.64398475
_C5,S.au,I,0.433564298
_C5,S.au,I,0.581008958
_1218,S.au,I,0.687749126
_1218,S.au,I,0.740070908
_1218,S.au,I,0.556051457
_1298,S.au,I,0.501811158
_1298,S.au,I,0.438817917
_1298,S.au,I,0.470654696
_1219,S.au,I,0.579826914
_1219,S.au,I,0.438633021
_1219,S.au,I,0.575004555
_1167,S.au,I,0.459896218
_1167,S.au,I,0.433318827
_1167,S.au,I,0.503046791
_1339,S.au,I,0.370472724
_1339,S.au,I,0.296965519
_1339,S.au,I,0.405741282
