Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
1234_x_E.co,combinatoric,LGBMRegressor,0.06855236698014217,0.1823128288400402,0.27595356191867093,0.8843870918717358,0.09256166645280516,0.8984311127003956,[0.40037311 0.40037311 0.40037311 ... 0.30965423 0.31012824 0.31012824],"[[0.37533383]
 [0.42029501]
 [0.37533383]
 ...
 [0.23941059]
 [0.23941059]
 [0.20836221]]",1296,(-) B_Biofilm_Height,0.08055701671647367
1234_x_S.en,combinatoric,LGBMRegressor,0.24453217132777436,0.11658195153663248,128567790954852.03,101.28847476078415,0.32225097678863523,-0.7003931514899437,[0.33498567 0.33498567 0.33498567 ... 0.30182721 0.30182721 0.30182721],"[[0.27277721]
 [0.51424479]
 [0.27277721]
 ...
 [0.        ]
 [0.        ]
 [0.        ]]",1296,(-) B_Biofilm_Height,0.2833915740582048
1234_x_S.au,combinatoric,LGBMRegressor,0.11609835532877866,0.2267089746344257,0.3411741639343064,0.967446090845928,0.1619298829497422,0.5354730691726166,[0.88741371 0.86637968 0.88384739 ... 0.58605368 0.59877415 0.59877415],"[[0.80384281]
 [0.90118178]
 [0.9146671 ]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",1224,(-) B_Biofilm_Height,0.13901411913926043
1273_x_E.ce,combinatoric,LGBMRegressor,0.08626003510785177,0.10281839417998195,0.1237211542472698,0.19128002952077877,0.11266502137053748,0.5578256600688709,[0.87811584 0.87811584 0.87811584 ... 0.87989324 0.87500672 0.87902885],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.97210151]
 [0.88825073]
 [0.91438627]]",1296,(-) B_Biofilm_Height,0.09946252823919463
1273_x_E.co,combinatoric,LGBMRegressor,0.08664517875057319,0.19210954296949376,0.16746456349945996,0.17443524891450457,0.13991786800789918,0.6601305757485909,[0.46850736 0.46850736 0.46850736 ... 0.75914483 0.76614543 0.76614543],"[[0.44415041]
 [0.44415041]
 [0.36530147]
 ...
 [0.76102029]
 [0.62563646]
 [0.76102029]]",1296,(-) B_Biofilm_Height,0.1132815233792362
1273_x_S.en,combinatoric,LGBMRegressor,0.1659665519906607,0.21303570013434384,0.36398806813553497,0.235164810075765,0.2305995359200638,0.21941010218380008,[0.42003955 0.42569667 0.42569667 ... 0.6624957  0.66434421 0.66323833],"[[0.50859862]
 [0.44532886]
 [0.45565884]
 ...
 [0.23763899]
 [0.94403186]
 [0.98775245]]",1296,(-) B_Biofilm_Height,0.19828304395536225
1273_x_S.au,combinatoric,LGBMRegressor,0.1960559719220227,0.10183420366357612,0.22567616851477174,0.17106344960217126,0.2400476298687634,-2.7500880407883237,[0.95681132 0.96103811 0.96397503 ... 0.69228336 0.69718739 0.69718739],"[[0.60095033]
 [0.93156845]
 [0.93156845]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",1224,(-) B_Biofilm_Height,0.21805180089539306
1298_x_E.ce,combinatoric,LGBMRegressor,0.09869815698988317,0.12855796119053672,0.17634082995078185,0.1621026990384716,0.1189674373141397,0.6462593092307508,[0.56100943 0.56100943 0.56100943 ... 0.50804495 0.50624815 0.50804495],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.69860234]
 [0.53338386]
 [0.72556523]]",1296,(-) B_Biofilm_Height,0.10883279715201144
1298_x_E.co,combinatoric,LGBMRegressor,0.10026271310948033,0.2444855735621766,0.24653292690196302,0.21336069780651132,0.12706606574344645,0.801722963899127,[0.36705101 0.36705101 0.36705101 ... 0.29721746 0.2920138  0.2920138 ],"[[0.51022149]
 [0.38337098]
 [0.51022149]
 ...
 [0.336191  ]
 [0.28267304]
 [0.336191  ]]",1296,(-) B_Biofilm_Height,0.1136643894264634
1298_x_S.en,combinatoric,LGBMRegressor,0.11904221878627165,0.09491802792402075,0.3354856799608465,0.2407825090596941,0.14767247848590942,0.31871377286215463,[0.41983274 0.41983274 0.41983274 ... 0.36837824 0.36953621 0.36978542],"[[0.31917066]
 [0.31917066]
 [0.52796393]
 ...
 [0.21471827]
 [0.21471827]
 [0.29892466]]",1296,(-) B_Biofilm_Height,0.13335734863609053
