,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
2,1,II,908.0,10-Mar-2022 18:19:14,0.16816,0.19257,1.1452,42556.6551,0.48734,41.888,249.103,,,3599.1818,0.084574,217.5197,232,44.641,96.6643,31,1,12,63,43.7784,54.5315,0.785,0.088544,0.21645,0.045,0.001,0.015,0.119,0.11076,0.15458,34836,4629.2874,3304.9529,3079.5,3,1283.0,4510.5,6219.1055,4384.7338,65.5014,19.8405,27.0564,17.7306,11.2334,14.2539,22.9767,7.9935,11.0004,31.1711,3.9639,9.9824,2.0247,0.047086,0.65921,5.3914,4.887,7.1044
3,1,II,2579.0,10-Mar-2022 18:19:14,0.15048,0.17455,1.16,43146.938,0.50675,37.9864,252.4372,,,10831.5888,0.25104,217.624,240,48.1124,93.9248,35,1,14,72,42.6681,47.713,0.825,0.090587,0.20236,0.054,0.001,0.016,0.132,0.10167,0.13491,34436,3808.0624,3175.7073,3434.0,1,1829.75,4827.5,3540.6684,2790.0666,87.2794,28.5138,36.2124,26.082,17.0892,21.7084,32.5934,9.5313,11.9389,32.0658,4.1999,9.4768,2.4956,0.047086,0.75338,6.1212,4.7086,6.3113
0,1,I,7832.0,16-Mar-2022 14:32:30,0.048059,0.059835,1.245,46047.9491,0.5957,12.9845,270.1762,,,60777.3345,1.3199,217.0067,257,73.3256,126.9749,61,1,24,113,56.8146,51.9731,0.998,0.16863,0.34354,0.11,0.001,0.034,0.249,0.17233,0.20235,33650,4942.5056,4280.1861,4757.5,1,2515.5,7145.5,3052.3653,2425.1518,81.6844,27.4265,33.5305,25.5397,16.2439,21.0861,31.7099,8.4539,9.2579,46.9921,7.7601,16.0897,4.9911,0.047086,1.5068,11.4891,8.0403,9.5392
1,1,I,9842.0,16-Mar-2022 14:32:30,0.061636,0.0682,1.1065,42241.9727,0.42806,15.0361,243.9509,,,95814.5721,2.2682,220.4712,304,84.3881,136.0645,77,1,31,131,60.0436,49.1072,1.0,0.21237,0.41142,0.146,0.001,0.044,0.323,0.20669,0.22526,15866,5598.5897,4434.3189,5409.5,1,2811.0,8158.0,3394.9872,2698.8384,78.2012,27.0812,33.1429,24.9808,16.0026,20.6963,31.3234,8.5925,9.2719,46.7096,9.7353,19.2467,6.545,0.047086,1.9776,14.8322,9.6232,10.6294
2,1,I,12706.0,16-Mar-2022 14:32:30,0.094663,0.054278,0.57339,53857.9106,0.81928,18.7708,198.2914,,,156140.9612,2.8991,345.8246,310,93.7925,139.2048,93,0,38,143,61.6471,46.9648,1.0,0.26794,0.49131,0.197,0.001,0.059,0.423,0.24533,0.24431,18734,6885.4282,5621.3847,6743.5,1,3492.0,10061.0,4069.7274,3013.6989,76.4634,22.9602,28.4211,20.9302,13.5247,17.3194,26.4772,7.769,8.6895,47.0863,12.2888,23.0014,8.758,0.047086,2.5897,19.4937,11.4741,11.5537
3,1,I,12262.0,16-Mar-2022 14:32:30,0.078301,0.073446,0.93799,43789.5869,0.34665,17.9065,228.6863,,,147931.0429,3.3782,243.804,272,94.6744,140.4833,94,0,39,144,62.2099,47.6168,1.0,0.26317,0.47926,0.196,0.001,0.059,0.414,0.23979,0.23998,18938,6654.393,5357.1485,6491.5,1,3358.0,9725.0,3954.4498,2949.211,98.0825,26.8645,33.1413,24.6049,16.0025,20.3808,30.8182,8.9436,10.1603,47.0863,12.0642,22.4208,8.758,0.047086,2.6368,19.0229,11.1783,11.3362
0,1,I,11210.0,16-Mar-2022 16:44:38,0.087723,0.07804,0.88962,42733.3702,0.4567,19.2999,220.0095,,,96787.469,2.2649,247.3066,295,78.0178,131.9341,68,1,26,121,59.03,50.9118,1.0,0.18738,0.38414,0.122,0.001,0.035,0.281,0.19292,0.22256,20030,6769.4046,5537.6668,6591.5,1,3540.0,9765.0,3958.6148,3022.7004,112.5625,38.6244,47.5898,35.6253,24.0114,29.8332,44.3157,11.6733,12.9371,47.0863,8.634,17.9906,5.5562,0.047086,1.6009,12.9016,8.9884,10.4866
1,1,I,11085.0,16-Mar-2022 16:44:38,0.082487,0.076919,0.9325,41958.4885,0.36117,18.4109,223.1974,,,98698.2778,2.3523,239.3541,278,79.1174,132.8406,70,1,26,124,59.2309,49.3861,0.994,0.19343,0.39619,0.126,0.001,0.036,0.292,0.19867,0.22478,18694,6423.5873,5075.0004,6224.0,1,3243.75,9347.25,3875.0318,2933.2542,106.6239,36.5678,45.4021,33.6592,22.5139,27.8024,42.336,11.4512,12.5896,46.8038,8.9038,18.5575,5.6504,0.047086,1.6009,13.3725,9.2716,10.6025
2,1,I,12613.0,16-Mar-2022 16:44:38,0.087072,0.085037,0.97663,41575.3474,0.21492,19.7978,227.3727,,,129566.2128,3.1164,232.8132,306,85.544,137.454,79,1,30,134,61.2571,48.7646,1.0,0.22343,0.44053,0.15,0.001,0.042,0.344,0.2212,0.23633,19930,7152.4039,5917.8246,6968.0,1,3713.75,10334.25,4181.4662,3016.7868,127.3177,41.2751,51.0612,37.9776,25.5008,31.624,47.5994,12.753,14.0499,46.9921,10.2724,20.6247,6.7804,0.047086,1.8835,15.7739,10.3127,11.1539
3,1,I,12201.0,16-Mar-2022 16:44:38,0.085994,0.083224,0.9678,42338.0216,0.25174,19.6417,228.4084,,,120367.2469,2.843,236.009,301,83.9159,134.9641,76,1,30,130,60.1016,49.2872,1.0,0.21408,0.42177,0.142,0.001,0.042,0.326,0.21153,0.2311,19781,7000.6145,5603.0325,6788.0,1,3607.75,10121.25,4134.0028,3047.5776,113.0891,38.3069,47.161,35.2696,23.5088,29.2852,44.2744,11.8336,12.8422,47.0863,9.8654,19.7606,6.4508,0.047086,1.8835,15.0205,9.8807,10.9021
0,1,I,13999.0,18-Mar-2022 14:18:30,0.073752,0.070569,0.95684,44219.0857,0.2906,17.1181,232.1029,,,312492.0215,7.0669,242.5712,310,111.9045,127.3183,120,0,64,156,61.0918,54.4144,1.0,0.48598,0.6947,0.5,0.001,0.18825,0.763,0.31802,0.23571,18071,7087.0991,5522.4091,7013.0,1,3513.25,10521.75,4171.4867,3081.9654,108.2989,32.352,38.7777,29.3968,17.5017,22.9301,38.7399,12.0623,12.32,47.0863,22.3225,32.5547,22.7898,0.047086,7.628,35.5972,15.1137,11.2541
1,1,I,14571.0,18-Mar-2022 14:18:30,0.072655,0.079563,1.0951,43263.3821,0.40757,17.8445,245.606,,,334032.7276,7.7209,224.2805,306,112.0419,126.5431,120,0,64,158,61.3299,55.5541,1.0,0.5004,0.70989,0.519,0.001,0.196,0.794,0.32405,0.23622,18986,7365.2947,5810.6326,7296.0,1,3653.25,10946.75,4326.1626,3225.3848,141.2257,34.5735,41.4768,31.3813,18.5024,24.4524,41.3504,13.0293,13.3345,47.0863,22.9245,33.2388,23.4961,0.047086,8.0518,36.9627,15.3774,11.2958
2,1,I,14559.0,18-Mar-2022 14:18:30,0.085955,0.083147,0.96733,42481.7579,0.25353,19.6614,228.7405,,,311707.8935,7.3375,236.4665,309,112.6922,130.3814,121,0,66,157,60.3632,52.781,1.0,0.46701,0.67716,0.468,0.001,0.173,0.737,0.31343,0.23946,18737,7375.8751,5786.3718,7293.0,1,3651.25,10944.75,4349.5877,3222.891,149.2925,48.4654,57.8117,44.6226,26.5011,34.9425,57.9828,17.0703,17.1632,47.0863,21.41,31.7111,21.0947,0.047086,7.1571,34.2788,14.8514,11.4246
3,1,I,15155.0,18-Mar-2022 14:18:30,0.082359,0.082832,1.0058,44727.9042,0.1068,19.7106,239.326,,,338286.8326,7.5632,237.9572,318,111.1821,125.992,118,0,64,156,60.4621,55.0026,1.0,0.48576,0.69528,0.492,0.001,0.186,0.767,0.31868,0.24002,18870,7674.6296,6288.2325,7610.0,1,3819.25,11408.75,4494.2916,3348.294,144.6322,42.5607,51.0056,38.7047,23.0025,30.4362,50.8403,15.6399,16.0914,47.0863,22.3218,32.5831,22.4602,0.047086,7.8752,35.7856,15.1349,11.4471
