Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,cross_mean
11285_x_E.co,combinatoric,LGBMRegressor,0.1024705669909781,0.20005551970260618,0.16870367711262543,0.20087659375205622,0.13561211539127974,0.6703049709471329,[0.4139732  0.4139732  0.41387708 ... 0.59132888 0.84766792 0.57560247],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,B_Biofilm_Volume,0.02648953028678437,0.01651680471304587,0.02150316749991512
11285_x_E.co,combinatoric,LGBMRegressor,0.10018444121722939,0.16878599764593452,0.1964214678006335,0.14644037149,0.13925642371445204,0.6523470702666896,[0.44919376 0.44919376 0.44919376 ... 0.85269382 0.84766792 0.84766792],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,P_Biofilm_Height,0.03013383860995668,0.01423067893929715,0.022182258774626915
11285_x_E.co,combinatoric,LGBMRegressor,0.0943837485968882,0.16878599764593452,0.17946374385652603,0.14644037149,0.123310659563542,0.727405769575987,[0.44919376 0.44919376 0.44919376 ... 0.85269382 0.84766792 0.84773282],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,P_Biofilm_Volume,0.014188074459046629,0.00842998631895596,0.011309030389001294
11285_x_E.co,combinatoric,LGBMRegressor,0.09043951257816764,0.16878599764593452,0.17032900972266868,0.14644037149,0.11862028488987045,0.7477487403487246,[0.44919376 0.44919376 0.44919376 ... 0.85269382 0.84766792 0.84766792],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,P_Biofilm_SubstratumCoverage,0.009497699785375083,0.004485750300235403,0.006991725042805243
11285_x_E.co,combinatoric,LGBMRegressor,0.2514313798584714,0.22419401162959285,0.4836841843543451,0.680748582753922,0.31728599454537354,-0.8047507145548365,[0.93134679 0.93134679 0.66243427 ... 0.85269382 0.9359561  0.84766792],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,Modele,0.2081634094408782,0.1654776175805392,0.1868205135107087
11285_x_S.au,combinatoric,LGBMRegressor,0.1038053962386884,0.018064169606094076,0.10641481128478561,0.022439123890100797,0.11569601440220605,-5.050416710213365,[0.94089434 0.93994232 0.94841226 ... 0.87169879 0.87726389 0.87726389],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,No Permutation,0.0,0.0,0.0
11285_x_S.au,combinatoric,LGBMRegressor,0.15665246805544175,0.018064169606094076,0.1593782212117564,0.022439123890100797,0.19054169578959032,-15.410754266295847,[0.94089434 0.94795376 0.94516602 ... 0.87879547 0.87726389 0.77763307],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,B_Biofilm_Height,0.07484568138738427,0.052847071816753355,0.06384637660206882
11285_x_S.au,combinatoric,LGBMRegressor,0.12012601248941066,0.018064169606094076,0.12279198879735503,0.022439123890100797,0.13751666462522089,-7.547894451468288,[0.94089434 0.94483581 0.95330575 ... 0.75268732 0.87726389 0.87728227],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,B_Biofilm_Roughness,0.02182065022301484,0.01632061625072226,0.01907063323686855
11285_x_S.au,combinatoric,LGBMRegressor,0.1300804465781369,0.018064169606094076,0.13276770811877348,0.022439123890100797,0.15314140317419805,-9.60068023555448,[0.94089434 0.94290776 0.90976624 ... 0.7873795  0.84263741 0.91137633],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,B_Biofilm_SubstratumCoverage,0.03744538877199201,0.02627505033944849,0.03186021955572025
11285_x_S.au,combinatoric,LGBMRegressor,0.13228904472687975,0.018064169606094076,0.13499610290286385,0.022439123890100797,0.15640014458263407,-10.05663036076783,[0.94089434 0.86361137 0.87564015 ... 0.87169879 0.84230354 0.77179057],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,B_Biofilm_Volume,0.040704130180428025,0.02848364848819135,0.03459388933430969
